55,Abraham Lincoln Hill School - Second Dose,2800 Ocean Parkway,Brooklyn,NY,11235,"Eligible 1A and 1B priority groups including frontline, high-risk healthcare workers; residents and staff in certain group living facilities; older adults; grocery workers; and first responders."
56,Adlai E Stevenson High School - Second Dose,1980 Lafayette Avenue,Bronx,NY,10473,"Eligible 1A and 1B priority groups including frontline, high-risk healthcare workers; residents and staff in certain group living facilities; older adults; grocery workers; and first responders."
57,August Martin High School - Second Dose,156-10 Baisley Boulevard,Queens,NY,11434,"Eligible 1A and 1B priority groups including frontline, high-risk healthcare workers; residents and staff in certain group living facilities; older adults; grocery workers; and first responders."
58,Aviation High School - Second Dose,45-30 36th Street,Queens,NY,11101,"Eligible 1A and 1B priority groups including frontline, high-risk healthcare workers; residents and staff in certain group living facilities; older adults; grocery workers; and first responders."
59,Beach Channel Educational Campus - Second Dose,100-00 Beach Channel Drive,Queens,NY,11694,"Eligible 1A and 1B priority groups including frontline, high-risk healthcare workers; residents and staff in certain group living facilities; older adults; grocery workers; and first responders."
60,Canarsie High School - Second Dose,1600 Rockaway Parkway,Brooklyn,NY,11236,"Eligible 1A and 1B priority groups including frontline, high-risk healthcare workers; residents and staff in certain group living facilities; older adults; grocery workers; and first responders."
61,George Westinghouse Vocational High School - Second Dose,105 Johnson Street,Brooklyn,NY,11201,"Eligible 1A and 1B priority groups including frontline, high-risk healthcare workers; residents and staff in certain group living facilities; older adults; grocery workers; and first responders."
62,Marta Valle High School -  Second Dose,145 Stanton Street,Manhattan,NY,10002,"Eligible 1A and 1B priority groups including frontline, high-risk healthcare workers; residents and staff in certain group living facilities; older adults; grocery workers; and first responders."
63,Port Richmond High School - Second Dose,85 St Joseph's Avenue,Staten Island,NY,10302,"Eligible 1A and 1B priority groups including frontline, high-risk healthcare workers; residents and staff in certain group living facilities; older adults; grocery workers; and first responders."
64,Staten Island Technical High School - Second Dose,485 Clawson Street,Staten Island,NY,10306,"Eligible 1A and 1B priority groups including frontline, high-risk healthcare workers; residents and staff in certain group living facilities; older adults; grocery workers; and first responders."
65,Wadleigh Campus I.s. 88 - Second Dose,215 West 114 Street,Manhattan,NY,10026,"Eligible 1A and 1B priority groups including frontline, high-risk healthcare workers; residents and staff in certain group living facilities; older adults; grocery workers; and first responders."
66,Walton Educational School - Second Dose,2780 Reservoir Avenue,Bronx,NY,10468,"Eligible 1A and 1B priority groups including frontline, high-risk healthcare workers; residents and staff in certain group living facilities; older adults; grocery workers; and first responders."
67,Senior Care EMS - REMSCO - First Dose - Closed POD Event,700 Havemeyer Avenue,Bronx,New York,10473,Closed POD for REMSCO
